"Time [s]","Total number of threads","Runnable threads","Blocked threads","Threads in Net I/O","Waiting threads"
505.56,1,1,0,0,0
506.56,1,1,0,0,0
507.56,1,1,0,0,0
508.56,1,1,0,0,0
509.56,1,1,0,0,0
510.56,1,1,0,0,0
511.56,1,1,0,0,0
512.56,1,1,0,0,0
513.57,1,1,0,0,0
514.57,1,1,0,0,0
515.57,1,1,0,0,0
516.57,1,1,0,0,0
517.57,1,1,0,0,0
518.57,1,1,0,0,0
519.57,1,1,0,0,0
520.57,1,1,0,0,0
521.57,1,1,0,0,0
522.57,1,1,0,0,0
523.57,1,1,0,0,0
524.58,1,1,0,0,0
525.58,1,1,0,0,0
526.58,1,1,0,0,0
527.58,1,1,0,0,0
528.58,1,1,0,0,0
529.58,1,1,0,0,0
530.58,1,1,0,0,0
531.58,1,1,0,0,0
532.58,1,1,0,0,0
533.59,1,1,0,0,0
534.59,1,1,0,0,0
535.59,1,1,0,0,0
