"Time [s]","Process load","System load"
698.56,0.39,9.28
699.56,0,7.41
700.57,0.76,10.76
701.58,0,24.22
702.58,0.76,18.2
703.58,0,3.12
704.59,0.4,1.17
705.59,0,4.3
706.61,0.75,7.22
707.62,0,6.24
708.62,1.17,8.96
709.62,0,1.57
710.62,0.77,4.3
711.62,0,6.25
712.63,0.78,3.45
713.63,0,1.57
714.63,0.37,0.77
715.64,0,2.35
716.67,0.77,3.78
717.67,0,5.85
718.67,0.37,23.02
719.67,0,12.5
720.67,0.77,8.98
721.67,0,6.24
722.68,1.16,6.55
723.68,0,1.17
724.69,0.39,1.17
725.69,0,2.72
726.69,0.39,3.11
727.69,0,16.02
728.69,0.77,38.67
729.69,0,39.85
730.69,0.77,40.62
731.69,0,28.5
732.7,0.76,3.89
733.7,0,9.75
734.71,0.39,6.96
735.71,0.39,33.56
736.74,0.36,42.73
737.74,0,54.3
738.74,1.57,26.55
739.74,0,5.07
740.75,0.77,9.35
741.76,0.76,17.01
742.76,1.94,10.91
743.76,0.4,3.12
744.76,0.77,8.2
745.76,0,16
746.76,0.77,14.45
747.76,0,19.5
748.78,1.15,1.94
749.78,0,9.75
750.78,0.8,15.25
751.78,0,2.72
752.81,1.11,2.28
753.81,0,1.17
754.81,0.8,18.35
755.81,0,16.4
756.82,0.76,13.89
757.82,0,17.15
758.82,0.4,27.35
759.82,0,19.9
760.84,1.12,4.98
761.84,0,1.17
762.84,3.52,17.17
763.85,2.72,13.67
764.87,2.68,16.42
765.87,0,12.88
766.87,0.77,5.85
767.87,0,4.3
768.89,0.76,4.6
769.89,0,4.69
770.9,1.16,1.92
771.9,0,3.12
772.9,0.4,5.47
773.9,0,2.34
774.91,0.76,2.3
775.91,0,3.12
776.92,1.17,7.4
777.92,0,2.75
778.92,1.17,6.25
779.92,0,11.32
780.92,0.77,6.21
781.92,0,7.79
782.93,0.77,3.89
783.93,0,6.25
784.93,0.8,10.95
785.93,0,12.9
786.93,0.77,6.62
787.93,0,1.57
788.93,0.77,4.3
789.93,0.77,19.1
790.94,0.79,15.94
791.94,0,12.07
792.95,0.76,4.99
793.96,0,2.75
794.96,0.37,2.32
795.96,0,10.16
796.96,0.8,3.9
797.96,0,1.55
798.96,0.77,3.12
799.96,0,3.12
800.98,0.76,6.16
801.98,0,5.87
802.98,0.77,10.55
803.98,0,7.02
804.99,0.79,13.14
805.99,0,6.25
807.0,0.37,7.32
808.0,0,8.2
809.02,0.78,9.99
810.02,0,30.03
811.02,0.77,16.72
812.02,0,18.37
813.03,0.77,6.23
814.03,0,28.12
815.03,0.77,6.99
816.04,0.39,5.46
817.04,0.39,14.77
818.04,0,9.75
819.05,0.77,12.83
820.05,0,5.47
821.06,0.76,4.61
822.06,0.4,12.9
823.06,0.37,5.85
824.06,0,1.17
825.07,0.79,19.01
826.07,0,13.27
827.08,0.76,5.39
828.09,0,3.89
829.09,0.37,4.3
830.09,0,1.95
831.09,0.79,7.76
832.09,0,15.25
833.1,0.76,4.63
834.1,0,7.02
835.11,0.39,4.65
836.11,0,5.85
837.11,0.37,1.95
838.12,0,1.57
839.13,0.76,2.69
840.13,0,3.52
841.13,0.79,3.11
842.13,0,1.17
843.13,0.37,1.54
844.14,0,1.17
845.14,0.79,2.34
846.14,0,1.95
847.15,0.37,0.76
848.15,0,1.95
849.15,0.77,1.17
