"Name","Instance Count","Size (bytes)"
"java.lang.PublicMethods$MethodList",41,984
"java.util.jar.Attributes$Name",41,984
"java.lang.StringUTF16$CharsSpliterator",40,1280
"java.util.regex.Pattern$BmpCharPropertyGreedy",40,960
"jdk.internal.org.objectweb.asm.Type[ ]",39,1080
"java.security.Provider$Service",38,2128
"java.util.Arrays$ArrayList",37,888
"sun.util.calendar.ZoneInfo",37,2072
"java.util.HashMap$KeySet",35,560
"com.jprofiler.agent.probe.structures.h",34,1360
"java.util.regex.Pattern$CharPredicate$$Lambda$22.2142003995",34,544
"java.util.concurrent.ConcurrentHashMap$ForwardingNode",33,1056
"com.jprofiler.agent.probe.structures.MetaDataImpl",32,2560
"com.jprofiler.agent.util.a.b.z$b$1",32,768
"javax.management.ObjectName$Property[ ]",32,1112
"jdk.internal.reflect.UnsafeStaticObjectFieldAccessorImpl",32,1024
"org.sqlite.date.FormatCache$MultipartKey",32,768
"java.lang.invoke.VarHandle$AccessMode",31,992
"jdk.internal.org.objectweb.asm.Handler",31,1240
"java.lang.invoke.DirectMethodHandle$Accessor",30,1200
"java.security.Provider$EngineDescription",30,960
"java.util.ImmutableCollections$ListN",30,480
"java.util.regex.Pattern",29,2552
"java.util.regex.Pattern$GroupHead[ ]",29,1624
"java.lang.NoSuchFieldException",28,1120
"java.util.ImmutableCollections$ListItr",28,896
"java.util.regex.Pattern$CharPredicate$$Lambda$23.1535634836",28,672
"java.util.regex.Pattern$Start",28,672
"com.jprofiler.agent.util.a.a.b.g",27,1728
"com.jprofiler.agent.util.a.a.b.h",27,2808
"com.jprofiler.agent.util.a.a.b.h$m[ ]",27,1072
"java.util.regex.Pattern$GroupCurly",27,1296
"java.util.concurrent.atomic.AtomicBoolean",26,416
"java.lang.invoke.InvokerBytecodeGenerator",25,1600
"java.lang.invoke.InvokerBytecodeGenerator$CpPatch",25,600
"jdk.internal.jimage.ImageLocation",23,552
"java.nio.file.attribute.FileTime",22,704
"java.lang.WeakPairMap$Pair$Weak",21,840
"java.lang.WeakPairMap$Pair$Weak$1",21,672
"java.util.Properties",21,1176
"java.util.concurrent.atomic.AtomicLong",21,504
"com.jprofiler.agent.sampler.Sampler$c",20,640
"java.security.AccessControlContext",20,800
"javax.management.ObjectName$Property",20,480
"sun.invoke.util.Wrapper[ ]",20,1024
"java.lang.Float",19,304
"java.util.Vector$Itr",19,608
"java.util.regex.Pattern$CharPropertyGreedy",19,456
"jdk.internal.math.FormattedFloatingDecimal",19,456
"com.jprofiler.agent.probe.g.c",18,2880
"com.jprofiler.agent.probe.g.c$1",18,288
"com.jprofiler.agent.probe.g.d",18,1008
"com.jprofiler.agent.probe.g.d$1",18,432
"com.jprofiler.agent.probe.payload.BasePayloadInfo[ ]",18,288
"com.jprofiler.agent.probe.structures.a",18,432
"com.jprofiler.agent.probe.structures.o$a",18,432
"com.jprofiler.agent.probe.structures.o$b",18,432
"com.jprofiler.agent.probe.structures.o$c",18,432
"com.jprofiler.api.agent.probe.ThreadLocalStack",18,288
"com.jprofiler.api.agent.probe.ThreadLocalStack$1",18,432
"java.io.FileDescriptor",18,720
"java.lang.invoke.LambdaFormBuffer",18,864
"java.lang.invoke.StringConcatFactory$RecipeElement",18,432
"java.nio.HeapByteBuffer",18,1008
"org.sqlite.SQLiteOpenMode",18,432
"java.lang.invoke.BoundMethodHandle$Species_LL",17,680
"java.util.Collections$SingletonSet",17,272
"java.util.Collections$SynchronizedSet",17,408
"com.jprofiler.agent.probe.g.a",16,384
"java.util.regex.Pattern$Slice",16,384
"org.sqlite.SQLiteConnectionConfig",16,640
"com.jprofiler.agent.util.f",15,360
"java.io.FileCleanable",15,840
"java.io.ObjectStreamField[ ]",15,440
"java.lang.invoke.Invokers",15,360
"org.sqlite.jdbc4.JDBC4ResultSet",15,840
"org.sqlite.jdbc4.JDBC4Statement",15,720
"sun.util.resources.Bundles$CacheKey",15,480
"com.jprofiler.agent.probe.a$1",14,224
"java.lang.invoke.LambdaForm$NamedFunction[ ]",14,504
"java.util.LinkedHashMap",14,784
"java.util.stream.Collectors$CollectorImpl",14,448
"java.util.stream.ReduceOps$3",14,448
"java.util.stream.ReduceOps$3ReducingSink",14,448
"jdk.internal.loader.BuiltinClassLoader$2",14,336
"java.lang.PublicMethods$Key",13,312
"java.lang.RuntimePermission",13,312
"org.sqlite.SQLiteLimits",13,312
"sun.security.jca.ProviderConfig",13,416
"java.lang.Thread",12,4416
"java.net.InetAddress$InetAddressHolder",12,384
"java.util.HashMap$Values",12,192
"java.util.StringJoiner",12,480
"java.io.FileInputStream",11,352
"java.lang.OutOfMemoryError",11,440
"java.lang.Package",11,352
"java.lang.invoke.MethodHandleImpl$Intrinsic",11,264
"java.util.Collections$1",11,264
"java.util.concurrent.CopyOnWriteArrayList$COWIterator",11,264
"javax.management.ObjectName",11,352
"org.sqlite.date.FastDateParser$NumberStrategy",11,176
"sun.net.www.MessageHeader",11,264
"sun.net.www.protocol.file.FileURLConnection",11,1144
"java.io.FileInputStream$1",10,160
"java.io.InputStreamReader",10,240
"java.lang.ClassLoader$2",10,160
"java.lang.ThreadLocal$ThreadLocalMap$Entry",10,320
"java.lang.invoke.DirectMethodHandle$Special",10,400
"java.lang.invoke.MethodType[ ]",10,408
"java.nio.charset.CoderResult",10,240
"java.nio.file.StandardOpenOption",10,240
"java.security.Principal[ ]",10,160
"java.security.ProtectionDomain",10,400
"java.security.ProtectionDomain$Key",10,160
"java.util.ArrayDeque",10,240
"java.util.HashMap$ValueSpliterator",10,400
"java.util.regex.Pattern$SliceI",10,240
"java.util.zip.Inflater",10,640
"java.util.zip.Inflater$InflaterZStreamRef",10,240
"jdk.internal.math.FloatingDecimal$ASCIIToBinaryBuffer",10,320
"org.sqlite.SQLiteConfig$Pragma[ ]",10,2240
"sun.invoke.util.Wrapper",10,560
"sun.nio.cs.SingleByte$Decoder",10,480
"sun.nio.cs.StreamDecoder",10,480
"java.lang.ThreadLocal",9,144
"java.lang.invoke.BoundMethodHandle$SpeciesData",9,432
"java.lang.invoke.BoundMethodHandle$SpeciesData[ ]",9,360
"java.lang.invoke.VarHandleReferences$FieldInstanceReadWrite",9,360
"java.net.InterfaceAddress",9,216
"java.text.DecimalFormat",9,1296
"java.text.DigitList",9,360
"java.util.Collections$SetFromMap",9,216
"java.util.ImmutableCollections$MapN",9,288
"java.util.LinkedHashMap$LinkedValueIterator",9,288
"java.util.Properties$EntrySet",9,144
"java.util.Scanner",9,1296
"java.util.Scanner$PatternLRUCache",9,216
"java.util.WeakHashMap",9,432
"java.util.WeakHashMap$Entry[ ]",9,720
"java.util.concurrent.ConcurrentHashMap$EntryIterator",9,504
"java.util.concurrent.ConcurrentHashMap$EntrySetView",9,144
"java.util.regex.Pattern[ ]",9,432
"jdk.internal.reflect.DelegatingMethodAccessorImpl",9,144
"jdk.internal.reflect.Label$PatchInfo",9,216
"jdk.internal.reflect.NativeMethodAccessorImpl",9,216
"com.jprofiler.api.agent.probe.DataType",8,128
"java.lang.WeakPairMap$$Lambda$2.943010986",8,128
"java.lang.invoke.StringConcatFactory$Recipe",8,128
"java.lang.invoke.VarHandle$AccessMode[ ]",8,1152
"java.lang.reflect.ProxyGenerator$PrimitiveTypeInfo",8,256
"java.math.RoundingMode",8,192
"java.net.NetPermission",8,192
"java.util.Map$Entry[ ]",8,1512
"java.util.WeakHashMap$KeySet",8,128
"java.util.concurrent.ConcurrentHashMap$KeyIterator",8,448
"java.util.concurrent.ConcurrentHashMap$KeySetView",8,192
"java.util.regex.Pattern$BmpCharPredicate$$Lambda$63.811760110",8,192
"org.sqlite.SQLiteConfig",8,256
"org.sqlite.SQLiteConfig$Encoding",8,192
"org.sqlite.core.NativeDB",8,640
"org.sqlite.jdbc4.JDBC4Connection",8,256
"sun.management.MemoryPoolImpl",8,448
"sun.management.MemoryPoolImpl$CollectionSensor",8,320
"sun.management.MemoryPoolImpl$PoolSensor",8,320
"com.jprofiler.agent.probe.f.a$a",7,112
"com.jprofiler.api.agent.probe.Unit",7,112
"java.lang.Class$1",7,168
"java.lang.ClassLoader$NativeLibrary",7,280
"java.lang.invoke.VarHandle$AccessType[ ]",7,280
"java.nio.file.LinkOption[ ]",7,112
"java.util.ArrayDeque$DeqIterator",7,224
"java.util.LinkedList$Node",7,168
"java.util.concurrent.TimeUnit",7,560
"java.util.regex.CharPredicates$$Lambda$66.1361289747",7,112
"java.util.regex.Pattern$$Lambda$21.2068434592",7,168
"java.util.stream.StreamOpFlag$Type[ ]",7,280
"java.util.stream.StreamOpFlag[ ]",7,280
"java.util.zip.ZipFile$CleanableResource",7,224
"java.util.zip.ZipFile$Source$Key",7,168
"jdk.internal.loader.URLClassPath$FileLoader$1",7,224
"jdk.internal.reflect.ConstantPool",7,112
"sun.nio.fs.WindowsFileAttributeViews$Basic",7,168
"byte[ ][ ]",6,1728
"double[ ]",6,368
"java.lang.Class$3",6,144
"java.lang.Integer[ ]",6,1240
"java.lang.invoke.LambdaForm$BasicType",6,192
"java.lang.invoke.MemberName[ ]",6,864
"java.lang.invoke.StringConcatFactory$Strategy",6,144
"java.lang.invoke.VarForm",6,144
"java.lang.reflect.AccessibleObject$$Lambda$8.1899073220",6,96
"java.lang.reflect.ProxyGenerator$ProxyMethod",6,240
"java.net.Inet4Address",6,144
"java.net.Inet6Address",6,144
"java.net.Inet6Address$Inet6AddressHolder",6,192
"java.nio.DirectLongBufferU",6,336
"java.security.DrbgParameters$Instantiation",6,144
"java.util.Collections$UnmodifiableCollection$1",6,144
"java.util.EnumMap",6,240
"java.util.Spliterators$ArraySpliterator",6,192
"java.util.concurrent.ConcurrentHashMap$ValuesView",6,96
"java.util.regex.Matcher$ImmutableMatchResult",6,192
"java.util.stream.ReferencePipeline$2",6,384
"java.util.stream.ReferencePipeline$2$1",6,144
"jdk.internal.perf.PerfCounter",6,144
"jdk.internal.reflect.Label",6,96
"org.sqlite.SQLiteConfig$JournalMode",6,144
"org.sqlite.date.FastDateParser$CopyQuotedStrategy",6,96
"org.sqlite.date.FastDatePrinter$CharacterLiteral",6,96
"sun.net.www.protocol.jar.JarURLConnection",6,528
"sun.net.www.protocol.jar.JarURLConnection$JarURLInputStream",6,144
"sun.net.www.protocol.jar.URLJarFile$URLJarFileEntry",6,576
"com.jprofiler.agent.LockManager$a",5,80
"com.jprofiler.agent.util.n[ ]",5,4464
"java.io.BufferedInputStream",5,200
"java.lang.Object[ ][ ]",5,1600
"java.lang.invoke.BoundMethodHandle$Species_LLL",5,200
"java.lang.invoke.DirectMethodHandle$Constructor",5,200
"java.lang.invoke.VarHandle$AccessType",5,160
"java.lang.module.ModuleDescriptor$Opens",5,120
"java.security.DrbgParameters$NextBytes",5,120
"java.util.ArrayList$ArrayListSpliterator",5,160
"java.util.Collections$SingletonMap",5,200
"java.util.Collections$UnmodifiableRandomAccessList",5,120
"java.util.Formatter$FixedString",5,160
"java.util.HashMap$ValueIterator",5,200
"java.util.LinkedHashMap$LinkedValues",5,80
"java.util.LinkedList",5,160
"java.util.RegularEnumSet",5,160
"java.util.ServiceLoader$1",5,120
"java.util.ServiceLoader$3",5,120
"java.util.ServiceLoader$ProviderImpl",5,160
"java.util.stream.StreamOpFlag",5,200
"java.util.stream.StreamOpFlag$MaskBuilder",5,80
"java.util.stream.StreamOpFlag$Type",5,120
"jdk.internal.loader.ClassLoaderValue",5,80
"jdk.internal.math.FloatingDecimal$PreparedASCIIToBinaryBuffer",5,120
"sun.nio.fs.WindowsPathType",5,120
"sun.util.locale.provider.LocaleProviderAdapter$Type",5,160
"sun.util.resources.Bundles$BundleReference",5,240
"sun.util.resources.LocaleData$1",5,120
"com.jprofiler.agent.LockManager$1",4,64
"com.jprofiler.agent.probe.g.d[ ]",4,136
"com.jprofiler.agent.util.a.a.b.h$c[ ]",4,128
"float[ ]",4,120
"java.io.ByteArrayOutputStream",4,96
"java.io.DataOutputStream",4,160
"java.io.FileOutputStream",4,128
"java.lang.ClassLoader$$Lambda$7.836514715",4,96
"java.lang.NamedPackage",4,96
"java.lang.NoSuchMethodError",4,160
"java.lang.Thread[ ]",4,144
"java.lang.invoke.LambdaForm$BasicType[ ]",4,160
"java.lang.module.ModuleDescriptor$Modifier",4,96
"java.lang.module.ModuleDescriptor$Requires$Modifier",4,96
"java.security.MessageDigest$Delegate",4,128
"java.security.Permissions",4,128
"java.util.LinkedHashSet",4,64
"java.util.Properties$LineReader",4,160
"java.util.ServiceLoader",4,224
"java.util.ServiceLoader$2",4,96
"java.util.ServiceLoader$LazyClassPathLookupIterator",4,160
"java.util.ServiceLoader$ModuleServicesLookupIterator",4,128
"java.util.regex.Pattern$Qtype",4,96
"java.util.stream.Collectors$$Lambda$29.1602171133",4,96
"java.util.stream.Collectors$$Lambda$30.543805818",4,64
"java.util.stream.FindOps$FindOp",4,128
"java.util.stream.StreamShape",4,96
"jdk.internal.loader.AbstractClassLoaderValue$Sub",4,96
"jdk.internal.loader.BootLoader$PackageHelper$$Lambda$6.101478235",4,64
"jdk.internal.loader.BuiltinClassLoader$1",4,128
"jdk.internal.math.FormattedFloatingDecimal$Form",4,96
"jdk.internal.reflect.ByteVectorImpl",4,96
"jdk.internal.reflect.ClassFileAssembler",4,128
"org.sqlite.SQLiteConfig$TransactionMode",4,96
"org.sqlite.date.FastDateParser$ISO8601TimeZoneStrategy",4,64
"org.sqlite.date.FastDatePrinter$TwoDigitNumberField",4,64
"sun.net.www.protocol.jar.URLJarFile",4,320
"sun.nio.cs.SingleByte$Encoder",4,256
"sun.reflect.generics.factory.CoreReflectionFactory",4,96
"sun.reflect.generics.parser.SignatureParser",4,96
"sun.reflect.generics.scope.ClassScope",4,96
"sun.reflect.generics.tree.ClassTypeSignature",4,64
"sun.reflect.generics.tree.SimpleClassTypeSignature",4,96
"sun.reflect.generics.tree.TypeArgument[ ]",4,64
"sun.reflect.generics.visitor.Reifier",4,96
"sun.security.jca.GetInstance$Instance",4,96
"sun.security.util.LazyCodeSourcePermissionCollection",4,128
"sun.util.locale.provider.LocaleResources$ResourceReference",4,192
"com.jprofiler.agent.probe.a.d.f",3,96
"com.jprofiler.agent.probe.d.f",3,48
"com.jprofiler.agent.probe.i.h",3,72
"com.jprofiler.agent.util.a.b.z$b",3,48
